Frequency - Plot 0	Amplitude - Plot 0
676	9.28E-08
677	7.75E-08
677	7.34E-08
678	9.96E-08
678	1.02E-07
679	7.69E-08
679	9.70E-08
680	1.11E-07
680	9.73E-08
681	8.89E-08
681	1.07E-07
682	1.05E-07
682	9.21E-08
683	1.07E-07
684	1.13E-07
684	9.85E-08
685	1.04E-07
685	1.06E-07
686	9.59E-08
686	8.16E-08
687	1.03E-07
687	9.89E-08
688	8.42E-08
688	9.11E-08
689	1.03E-07
689	1.05E-07
690	7.95E-08
690	9.69E-08
691	8.14E-08
691	7.60E-08
692	7.90E-08
692	7.27E-08
693	6.91E-08
693	6.10E-08
694	7.26E-08
694	6.47E-08
695	5.64E-08
695	6.72E-08
696	5.64E-08
696	4.49E-08
697	5.46E-08
697	6.07E-08
698	3.95E-08
698	3.69E-08
699	4.72E-08
699	4.21E-08
700	4.15E-08
700	3.92E-08
701	2.56E-08
701	2.38E-08
702	2.11E-08
702	2.26E-08
703	1.85E-08
703	1.36E-08
704	1.85E-08
705	2.22E-08
705	2.55E-08
706	3.68E-08
706	4.89E-08
707	5.80E-08
707	6.64E-08
708	8.81E-08
708	9.61E-08
709	1.25E-07
709	1.37E-07
710	1.44E-07
710	1.81E-07
711	1.84E-07
711	2.15E-07
712	2.46E-07
712	2.48E-07
713	2.75E-07
713	3.10E-07
714	3.23E-07
714	3.21E-07
715	3.39E-07
715	3.68E-07
716	3.45E-07
716	3.68E-07
717	3.87E-07
717	3.86E-07
718	3.70E-07
718	3.99E-07
719	4.00E-07
719	4.04E-07
720	3.89E-07
720	4.13E-07
721	4.02E-07
721	3.96E-07
722	4.20E-07
722	4.29E-07
723	3.82E-07
723	3.93E-07
724	3.59E-07
724	4.02E-07
725	3.63E-07
726	3.67E-07
726	3.68E-07
727	3.74E-07
727	3.27E-07
728	3.17E-07
728	3.26E-07
729	3.34E-07
729	3.24E-07
730	3.29E-07
730	2.70E-07
731	2.78E-07
731	2.71E-07
732	2.76E-07
732	2.58E-07
733	2.35E-07
733	2.17E-07
734	1.91E-07
734	1.82E-07
735	1.84E-07
735	1.59E-07
736	1.16E-07
736	1.18E-07
737	9.05E-08
737	7.36E-08
738	4.79E-08
738	3.41E-08
739	4.42E-08
739	5.21E-08
740	6.66E-08
740	8.98E-08
741	1.04E-07
741	1.35E-07
742	1.31E-07
742	1.49E-07
743	1.61E-07
743	1.54E-07
744	1.76E-07
744	1.87E-07
745	1.91E-07
745	1.30E-07
746	1.87E-07
746	1.97E-07
747	1.41E-07
748	1.35E-07
748	1.62E-07
749	1.56E-07
749	1.40E-07
750	9.75E-08
750	1.21E-07
751	1.54E-07
751	1.18E-07
752	8.24E-08
752	9.57E-08
753	3.73E-08
753	1.09E-07
754	1.54E-07
754	1.49E-07
755	2.66E-07
755	2.73E-07
756	3.50E-07
756	4.02E-07
757	3.80E-07
757	4.05E-07
758	4.21E-07
758	4.31E-07
759	6.53E-07
759	6.18E-07
760	6.70E-07
760	7.79E-07
761	8.04E-07
761	8.50E-07
762	1.07E-06
762	1.10E-06
763	1.30E-06
763	1.34E-06
764	1.40E-06
764	1.59E-06
765	1.77E-06
765	1.63E-06
766	2.10E-06
766	1.89E-06
767	2.10E-06
767	2.01E-06
768	2.08E-06
769	2.40E-06
769	2.27E-06
770	2.28E-06
770	2.35E-06
771	2.36E-06
771	2.44E-06
772	2.31E-06
772	2.41E-06
773	2.24E-06
773	2.28E-06
774	2.08E-06
774	2.04E-06
775	2.00E-06
775	1.85E-06
776	1.77E-06
776	1.82E-06
777	1.50E-06
777	1.41E-06
778	1.33E-06
778	1.19E-06
779	1.15E-06
779	1.05E-06
780	9.76E-07
780	7.98E-07
781	8.01E-07
781	8.09E-07
782	7.24E-07
782	6.38E-07
783	5.86E-07
783	6.02E-07
784	5.48E-07
784	4.99E-07
785	4.53E-07
785	3.84E-07
786	3.59E-07
786	3.95E-07
787	3.79E-07
787	3.03E-07
788	3.39E-07
788	3.52E-07
789	3.00E-07
790	3.24E-07
790	2.95E-07
791	3.01E-07
791	2.65E-07
792	2.83E-07
792	3.01E-07
793	2.40E-07
793	2.03E-07
794	2.47E-07
794	2.27E-07
795	1.94E-07
795	2.00E-07
796	1.79E-07
796	1.70E-07
797	1.33E-07
797	1.49E-07
798	1.59E-07
798	1.15E-07
799	9.56E-08
